run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230530-19:59:01-47681,runattr,,,configname,General,,
General-0-20230530-19:59:01-47681,runattr,,,datetime,20230530-19:59:01,,
General-0-20230530-19:59:01-47681,runattr,,,datetimef,20230530-195901,,
General-0-20230530-19:59:01-47681,runattr,,,experiment,General,,
General-0-20230530-19:59:01-47681,runattr,,,inifile,omnetpp.ini,,
General-0-20230530-19:59:01-47681,runattr,,,iterationvars,,,
General-0-20230530-19:59:01-47681,runattr,,,iterationvarsd,,,
General-0-20230530-19:59:01-47681,runattr,,,iterationvarsf,,,
General-0-20230530-19:59:01-47681,runattr,,,measurement,,,
General-0-20230530-19:59:01-47681,runattr,,,network,Network,,
General-0-20230530-19:59:01-47681,runattr,,,processid,47681,,
General-0-20230530-19:59:01-47681,runattr,,,repetition,0,,
General-0-20230530-19:59:01-47681,runattr,,,replication,#0,,
General-0-20230530-19:59:01-47681,runattr,,,resultdir,results,,
General-0-20230530-19:59:01-47681,runattr,,,runnumber,0,,
General-0-20230530-19:59:01-47681,runattr,,,seedset,0,,
General-0-20230530-19:59:01-47681,config,,,network,Network,,
General-0-20230530-19:59:01-47681,config,,,sim-time-limit,200s,,
General-0-20230530-19:59:01-47681,config,,,"Network.node[{0,1,2,3,4,6,7}].app.interArrivalTime",exponential(12),,
General-0-20230530-19:59:01-47681,config,,,"Network.node[{0,1,2,3,4,6,7}].app.packetByteSize",125000,,
General-0-20230530-19:59:01-47681,config,,,"Network.node[{0,1,2,3,4,6,7}].app.destination",5,,
